UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
-14.518289,-0.32193118,source_6,JCP2022_035095
-26.151253,11.323843,source_8,JCP2022_035095
-22.881815,9.608846,source_5,JCP2022_035095
-19.796602,8.482564,source_5,JCP2022_025848
-15.181414,0.09515113,source_6,JCP2022_064022
-21.050467,9.4803705,source_5,JCP2022_050797
-17.065487,4.653119,source_2,JCP2022_085227
-25.111763,7.5550027,source_10,JCP2022_050797
11.104725,3.737805,source_11,JCP2022_050797
-26.26656,11.346944,source_8,JCP2022_025848
-19.903063,8.638559,source_5,JCP2022_025848
-25.784979,11.465859,source_8,JCP2022_085227
-25.011806,10.511822,source_8,JCP2022_085227
-21.15411,10.531624,source_5,JCP2022_037716
-19.680714,8.516043,source_5,JCP2022_085227
11.22134,5.1876807,source_11,JCP2022_012818
9.7548,3.5622385,source_11,JCP2022_064022
-17.527859,4.0924344,source_2,JCP2022_046054
-21.927797,9.754044,source_5,JCP2022_012818
2.248835,2.762222,source_3,JCP2022_037716
10.920847,4.3456993,source_11,JCP2022_012818
11.259032,3.896641,source_11,JCP2022_012818
1.3133872,2.065111,source_3,JCP2022_046054
-15.77646,-0.034853566,source_6,JCP2022_064022
-27.658583,10.29953,source_8,JCP2022_012818
-11.76401,3.9474432,source_6,JCP2022_050797
-22.145945,10.040089,source_5,JCP2022_050797
-11.783782,3.890068,source_6,JCP2022_012818
-16.041643,0.054861285,source_6,JCP2022_064022
-20.786123,9.303516,source_5,JCP2022_085227
-21.407585,9.736025,source_5,JCP2022_064022
-26.053398,11.477208,source_8,JCP2022_037716
-17.314966,4.171107,source_2,JCP2022_025848
-15.888731,-0.046445686,source_6,JCP2022_064022
-17.187841,4.725118,source_2,JCP2022_050797
9.877196,3.526394,source_11,JCP2022_037716
-25.106709,9.436018,source_10,JCP2022_035095
2.176195,2.642492,source_3,JCP2022_037716
-24.808298,10.907273,source_8,JCP2022_037716
-20.867275,9.318962,source_5,JCP2022_050797
-24.643585,9.712555,source_8,JCP2022_035095
-17.403704,4.676851,source_2,JCP2022_050797
2.7885787,2.6836584,source_3,JCP2022_064022
-20.920809,10.479856,source_5,JCP2022_037716
-14.677552,-0.24348246,source_6,JCP2022_035095
-11.509515,3.0738137,source_6,JCP2022_046054
-11.5420065,3.8334548,source_6,JCP2022_050797
-17.921354,4.6202946,source_2,JCP2022_035095
-19.943556,8.700216,source_5,JCP2022_025848
-11.455492,3.9894578,source_6,JCP2022_012818
11.383928,3.8188393,source_11,JCP2022_012818
-19.586704,3.7028005,source_2,JCP2022_012818
-11.489245,3.050445,source_6,JCP2022_046054
-12.145306,4.1268344,source_6,JCP2022_035095
-26.643448,9.210113,source_10,JCP2022_037716
-27.638702,10.186591,source_8,JCP2022_012818
-21.213182,9.545758,source_5,JCP2022_085227
-14.468066,-0.2945144,source_6,JCP2022_035095
11.508993,3.664592,source_11,JCP2022_050797
-11.422523,3.1933138,source_6,JCP2022_046054
-18.254942,3.926584,source_2,JCP2022_037716
-14.533148,-0.30553138,source_6,JCP2022_035095
-18.65387,3.5928602,source_2,JCP2022_046054
9.853951,4.1699677,source_11,JCP2022_046054
-23.553259,9.487257,source_8,JCP2022_025848
-25.647331,9.446743,source_10,JCP2022_035095
1.1727617,2.1244366,source_3,JCP2022_046054
2.5602424,2.40417,source_3,JCP2022_046054
-16.154003,-0.22772002,source_6,JCP2022_037716
-25.155964,7.515504,source_10,JCP2022_085227
-22.039505,9.981365,source_5,JCP2022_012818
-14.512548,-0.36021206,source_6,JCP2022_035095
-24.734232,10.632,source_8,JCP2022_046054
-24.681755,10.293758,source_8,JCP2022_085227
-25.497894,10.789337,source_8,JCP2022_064022
-14.841926,0.6109697,source_6,JCP2022_050797
-21.450829,9.749024,source_5,JCP2022_025848
-17.030903,4.550933,source_10,JCP2022_085227
-17.637478,4.03957,source_2,JCP2022_046054
-23.669512,9.544485,source_8,JCP2022_025848
-25.16059,10.501484,source_8,JCP2022_085227
-24.54143,9.965056,source_8,JCP2022_025848
-22.830639,9.588535,source_5,JCP2022_035095
-25.832186,8.420247,source_10,JCP2022_025848
-26.654638,9.100537,source_10,JCP2022_037716
-25.8014,11.315122,source_8,JCP2022_025848
3.9679687,4.138689,source_3,JCP2022_050797
1.354153,2.0449612,source_3,JCP2022_025848
-21.500212,9.564383,source_5,JCP2022_085227
-22.034124,9.910119,source_5,JCP2022_064022
-18.344019,3.726748,source_2,JCP2022_037716
-25.90297,11.3552685,source_8,JCP2022_085227
-25.740469,9.524688,source_10,JCP2022_035095
4.1307573,4.1468406,source_3,JCP2022_035095
10.22757,4.511086,source_11,JCP2022_050797
-17.905327,4.453192,source_2,JCP2022_085227
-26.332138,11.303038,source_8,JCP2022_037716
11.233267,5.2077737,source_11,JCP2022_035095
-19.98436,8.779905,source_5,JCP2022_050797
1.552446,2.1214933,source_3,JCP2022_085227
-20.681702,9.074602,source_5,JCP2022_085227
-17.326532,4.1816387,source_2,JCP2022_025848
-19.670498,8.426446,source_5,JCP2022_025848
-12.174333,4.167744,source_6,JCP2022_035095
-27.60977,10.365582,source_8,JCP2022_064022
-26.498617,11.168751,source_8,JCP2022_064022
10.612927,4.775469,source_11,JCP2022_012818
-19.282032,4.0401855,source_2,JCP2022_064022
-14.838408,0.5882239,source_6,JCP2022_085227
-21.972254,10.152381,source_5,JCP2022_012818
-14.514108,-0.42835957,source_6,JCP2022_035095
1.5423107,2.1756296,source_3,JCP2022_012818
-11.496779,3.954934,source_6,JCP2022_085227
-17.0866,4.4598107,source_2,JCP2022_085227
-24.59356,10.220397,source_8,JCP2022_025848
-19.870003,8.727785,source_5,JCP2022_085227
-25.011614,8.048827,source_10,JCP2022_085227
11.3007765,3.7464914,source_11,JCP2022_012818
10.046334,4.4802766,source_11,JCP2022_025848
-19.711483,8.490491,source_5,JCP2022_012818
10.9809475,4.9488297,source_11,JCP2022_085227
3.3134468,3.2327993,source_3,JCP2022_012818
1.9099318,2.2576504,source_3,JCP2022_035095
-12.06017,4.0915008,source_6,JCP2022_025848
-25.844173,10.851046,source_8,JCP2022_064022
10.731767,4.43865,source_11,JCP2022_064022
4.054113,4.156513,source_3,JCP2022_064022
-17.755087,3.8693285,source_2,JCP2022_085227
-17.623505,4.1838245,source_2,JCP2022_046054
11.051636,4.6433067,source_11,JCP2022_085227
-25.747078,10.259429,source_8,JCP2022_035095
2.33734,2.7962506,source_3,JCP2022_037716
10.515826,4.739792,source_11,JCP2022_085227
-20.909437,9.202264,source_5,JCP2022_025848
-26.756254,9.508434,source_10,JCP2022_064022
-19.748718,8.481462,source_5,JCP2022_025848
9.59064,3.8265922,source_11,JCP2022_046054
1.4842843,2.179356,source_3,JCP2022_035095
-26.271229,8.902746,source_10,JCP2022_037716
-25.037714,10.843605,source_8,JCP2022_037716
-27.126253,9.556133,source_10,JCP2022_012818
-16.12163,0.047281392,source_6,JCP2022_064022
9.884213,4.140711,source_11,JCP2022_025848
10.38664,4.483539,source_11,JCP2022_046054
-20.08762,8.751724,source_5,JCP2022_046054
-20.418922,9.177941,source_5,JCP2022_046054
-18.628267,3.659585,source_2,JCP2022_046054
2.8529923,2.649423,source_3,JCP2022_085227
4.0055637,4.1487784,source_3,JCP2022_025848
9.80913,3.5615869,source_11,JCP2022_050797
-21.600733,9.653793,source_5,JCP2022_085227
-15.317764,0.17712162,source_6,JCP2022_012818
10.948178,4.256115,source_11,JCP2022_012818
2.7733064,2.882484,source_3,JCP2022_012818
-17.64335,4.019306,source_2,JCP2022_050797
-26.086208,11.35593,source_8,JCP2022_025848
-22.632141,10.133877,source_5,JCP2022_064022
-26.729265,9.457904,source_10,JCP2022_035095
-25.894058,9.541161,source_10,JCP2022_035095
-20.534124,10.457756,source_5,JCP2022_037716
-15.433213,0.04235231,source_6,JCP2022_050797
-15.924439,0.046748318,source_6,JCP2022_025848
-16.224144,-0.26095748,source_6,JCP2022_037716
-11.799779,3.8405857,source_6,JCP2022_012818
-25.306902,8.048471,source_10,JCP2022_050797
-25.397966,8.136769,source_10,JCP2022_085227
-21.046844,9.216616,source_5,JCP2022_050797
-20.288853,8.744812,source_5,JCP2022_025848
-27.015247,9.506658,source_10,JCP2022_064022
-23.383884,9.273565,source_8,JCP2022_085227
-18.064814,4.353133,source_2,JCP2022_050797
-17.035217,4.639738,source_2,JCP2022_025848
-26.921028,9.462261,source_10,JCP2022_064022
2.4585483,2.7664385,source_3,JCP2022_012818
2.878594,2.7341805,source_3,JCP2022_046054
-26.544828,9.525648,source_10,JCP2022_037716
-18.449917,3.860861,source_2,JCP2022_037716
-26.367046,9.485997,source_10,JCP2022_064022
2.3562107,2.1490219,source_3,JCP2022_050797
-18.616474,4.4780774,source_2,JCP2022_035095
-19.576614,3.7076206,source_2,JCP2022_012818
-25.086145,7.531738,source_10,JCP2022_025848
-22.698332,9.98636,source_5,JCP2022_035095
11.025367,4.9708767,source_11,JCP2022_035095
-22.209085,10.146952,source_5,JCP2022_064022
10.753149,4.334415,source_11,JCP2022_025848
11.439644,3.789199,source_11,JCP2022_025848
-15.022976,-0.05146662,source_6,JCP2022_085227
-18.332823,3.6743646,source_2,JCP2022_037716
-27.291035,9.688599,source_10,JCP2022_012818
-21.762384,9.51002,source_5,JCP2022_025848
-15.936089,-0.018639566,source_6,JCP2022_025848
-17.071487,4.38878,source_2,JCP2022_050797
-16.300255,-0.09273877,source_6,JCP2022_037716
-14.8389435,0.32358035,source_6,JCP2022_085227
9.913949,3.3880572,source_11,JCP2022_037716
-22.939217,9.742199,source_5,JCP2022_035095
1.2406863,1.9999632,source_3,JCP2022_025848
3.9261832,4.043686,source_3,JCP2022_037716
-25.316082,8.045973,source_10,JCP2022_025848
-17.664948,4.0321445,source_2,JCP2022_046054
-26.143473,8.821745,source_10,JCP2022_037716
-22.865284,9.696548,source_5,JCP2022_035095
-25.367502,10.780031,source_8,JCP2022_064022
-23.49987,9.374436,source_8,JCP2022_085227
-11.484539,3.068669,source_6,JCP2022_046054
-24.610916,7.9856634,source_10,JCP2022_085227
4.5958347,3.890414,source_3,JCP2022_085227
-25.493002,10.794189,source_8,JCP2022_064022
-27.656115,10.254561,source_8,JCP2022_012818
-23.441294,9.323633,source_8,JCP2022_025848
-25.821783,9.255565,source_10,JCP2022_035095
-24.609322,10.192537,source_8,JCP2022_050797
11.335207,3.7350485,source_11,JCP2022_012818
-22.02568,10.067602,source_5,JCP2022_064022
10.485287,3.6579416,source_11,JCP2022_064022
11.158896,5.082422,source_11,JCP2022_035095
4.6295924,3.8675196,source_3,JCP2022_035095
-11.223002,4.161493,source_6,JCP2022_012818
10.73703,3.8142166,source_11,JCP2022_046054
2.1786506,2.123404,source_3,JCP2022_012818
2.656356,2.4608254,source_3,JCP2022_085227
-25.950708,8.610324,source_10,JCP2022_046054
-24.963396,8.07216,source_10,JCP2022_050797
-14.827679,0.2596736,source_6,JCP2022_050797
4.580871,3.8930326,source_3,JCP2022_085227
4.486329,3.9871755,source_3,JCP2022_025848
11.174008,3.9836352,source_11,JCP2022_085227
-26.15026,11.445691,source_8,JCP2022_037716
-26.397388,11.26825,source_8,JCP2022_064022
1.4936726,2.1870494,source_3,JCP2022_025848
-24.76482,10.587714,source_8,JCP2022_046054
10.059509,3.3262172,source_11,JCP2022_037716
-25.76705,9.468661,source_10,JCP2022_035095
-19.542124,3.814428,source_2,JCP2022_012818
-27.505526,9.947389,source_10,JCP2022_012818
-11.514897,3.0911808,source_6,JCP2022_046054
-27.46292,9.888565,source_10,JCP2022_012818
-25.323006,8.159016,source_10,JCP2022_085227
1.7146784,2.2897525,source_3,JCP2022_035095
-16.243763,-0.12123424,source_6,JCP2022_037716
2.606499,2.442623,source_3,JCP2022_064022
-27.21757,9.619647,source_10,JCP2022_012818
-26.011005,8.94894,source_10,JCP2022_050797
-26.187553,9.400728,source_10,JCP2022_035095
-26.415184,9.280064,source_10,JCP2022_064022
-19.109104,4.0666227,source_2,JCP2022_064022
-24.455256,10.093866,source_8,JCP2022_050797
-25.54421,10.454839,source_8,JCP2022_035095
-26.323847,11.448686,source_8,JCP2022_037716
-19.670742,8.443097,source_5,JCP2022_025848
9.579776,3.6938727,source_11,JCP2022_046054
1.0418602,1.9403121,source_3,JCP2022_046054
-23.462667,9.400176,source_8,JCP2022_050797
-21.602423,9.664117,source_5,JCP2022_012818
